Date,Open,High,Low,Close,Volume,Adj Close
2008-02-04,44.42,44.58,41.60,41.97,6062200,18.05
2008-01-28,41.33,44.51,40.78,43.97,8042700,18.90
2008-01-21,45.22,45.23,39.55,42.13,17424300,18.11
2008-01-14,49.92,50.51,45.76,45.97,10489800,19.77
2008-01-07,50.97,52.87,49.22,49.92,8263600,21.46
2007-12-31,50.71,51.71,50.23,51.08,3392000,21.96
2007-12-24,50.54,51.00,50.25,50.71,1113400,21.80
2007-12-17,48.77,50.79,48.11,50.54,7767000,21.73
2007-12-10,48.50,49.94,47.90,49.12,6180100,21.12
2007-12-03,47.50,49.15,47.05,48.60,4919200,20.90
2007-11-26,46.31,47.72,44.78,47.38,5513600,20.37
2007-11-19,44.88,46.59,43.31,46.31,7854400,19.91
2007-11-12,46.17,46.76,44.81,45.08,6442500,19.38
2007-11-05,46.05,47.42,46.00,46.40,5046500,19.95
2007-10-29,49.20,49.25,45.78,46.44,7333200,19.97
2007-10-22,47.66,49.22,47.50,48.92,5482200,21.04
2007-10-15,47.62,48.60,47.40,48.28,4571400,20.76
2007-10-08,48.17,48.94,47.28,47.81,4359200,20.55
2007-10-01,48.45,48.83,47.30,47.99,4243100,20.63
2007-09-24,47.92,48.97,47.85,48.50,5414500,20.85
2007-09-17,46.49,48.50,46.20,48.02,8299300,20.65
2007-09-10,46.75,46.97,45.85,46.51,4900800,20.00
2007-09-03,48.55,48.87,46.51,46.75,5337500,20.10
2007-08-27,46.41,48.62,45.85,48.56,4845400,20.88
2007-08-20,45.13,46.94,44.83,46.35,4928500,19.93
2007-08-13,46.05,46.75,43.50,45.04,10433000,19.37
2007-08-06,45.88,47.45,44.19,45.75,8089700,19.67
2007-07-30,45.76,47.67,45.54,45.92,7083900,19.75
2007-07-23,48.95,49.14,45.12,45.87,8993200,19.72
2007-07-16,49.47,50.38,48.49,48.76,6497100,20.97
2007-07-09,49.65,50.02,47.50,49.47,6142600,21.27
2007-07-02,48.25,49.32,47.93,49.32,4689500,21.21
2007-06-25,46.83,48.69,45.81,48.62,6255200,20.90
2007-06-18,46.41,48.92,46.07,47.33,7381500,20.35
2007-06-11,43.37,46.05,43.25,46.02,11123200,19.79
2007-06-04,46.10,46.55,42.72,43.31,8089900,18.62
2007-05-28,45.44,46.60,44.51,46.22,4826500,19.88
2007-05-21,45.04,45.96,44.75,45.44,5344200,19.54
2007-05-14,43.95,45.14,43.51,45.04,5341800,19.37
2007-05-07,44.25,44.44,43.03,43.84,4665900,18.85
2007-04-30,43.85,44.30,42.95,44.11,5060800,18.97
2007-04-23,44.81,46.35,42.71,43.87,8544500,18.86
2007-04-16,44.65,45.60,43.72,44.81,7437300,19.26
2007-04-09,43.38,44.63,42.89,44.61,5186400,19.18
2007-04-02,42.10,43.48,41.82,43.38,4640000,18.65
2007-03-26,39.26,42.44,39.26,42.14,8678800,18.12
2007-03-19,38.50,40.02,38.21,39.50,6240600,16.98
2007-03-12,39.35,39.83,37.65,38.16,10341200,16.41
2007-03-05,37.64,39.42,37.21,39.35,8097900,16.92
2007-02-26,39.72,40.29,37.85,38.41,11290900,16.51
2007-02-19,38.10,40.27,37.61,39.58,7381800,17.02
2007-02-12,38.25,38.54,37.95,38.11,4533900,16.39
2007-02-05,37.63,38.81,37.47,38.50,6455000,16.55
2007-01-29,36.22,38.08,36.01,37.82,8644800,16.26
2007-01-22,36.69,36.88,35.65,35.97,7662100,15.47
2007-01-15,36.93,37.44,36.19,36.73,6201400,15.79
2007-01-08,36.63,37.37,35.64,36.78,7648400,15.81
2007-01-01,36.92,37.43,36.50,36.58,4316600,15.73
2006-12-25,36.47,37.25,36.47,36.92,1636600,15.88
2006-12-18,36.40,37.10,35.94,36.47,5421900,15.68
2006-12-11,35.68,36.49,35.33,36.28,7721100,15.60
2006-12-04,34.60,35.60,34.50,35.51,6759800,15.27
2006-11-27,35.35,35.35,34.38,34.50,8143300,14.83
2006-11-20,35.01,35.97,34.90,35.35,6480600,15.20
2006-11-13,34.85,35.44,34.68,35.24,6985800,15.15
2006-11-06,33.55,35.01,33.55,35.00,7674600,15.05
2006-10-30,34.10,34.62,33.56,33.65,7779800,14.47
2006-10-23,33.62,34.60,33.44,34.46,6557900,14.82
2006-10-16,32.85,33.58,32.46,33.42,5381800,14.37
2006-10-09,32.30,32.99,32.15,32.84,4461200,14.12
2006-10-02,31.80,32.53,31.54,32.34,5303400,13.90
2006-09-25,31.17,31.80,31.02,31.58,5581600,13.58
2006-09-18,31.35,31.59,30.64,31.17,6412200,13.40
2006-09-11,31.50,31.81,31.07,31.24,8163300,13.43
2006-09-04,32.47,32.58,31.25,31.67,4578700,13.62
2006-08-28,31.65,32.65,31.60,32.33,4650900,13.90
2006-08-21,31.70,32.08,31.17,31.83,4497100,13.69
2006-08-14,30.90,31.90,30.70,31.74,4838300,13.64
2006-08-07,30.85,31.30,30.53,30.80,5283900,13.24
2006-07-31,31.18,31.73,30.67,31.27,5798600,13.45
2006-07-24,30.85,31.92,30.65,31.33,4666400,13.47
2006-07-17,30.58,31.20,30.06,30.64,5894500,13.17
2006-07-10,31.16,31.71,30.34,30.34,4094300,13.05
2006-07-03,31.44,31.94,30.84,31.27,4415000,13.45
2006-06-26,30.64,31.48,29.87,31.39,5074600,13.50
2006-06-19,29.89,30.74,29.35,30.45,5338200,13.09
2006-06-12,30.45,30.58,29.05,29.58,5217000,12.72
2006-06-05,31.58,31.85,30.31,30.56,6806700,13.14
2006-05-29,32.44,32.62,30.91,31.58,6627600,13.58
2006-05-22,31.75,32.61,30.84,32.49,7442800,13.97
2006-05-15,33.00,33.08,31.35,31.90,8039100,13.71
2006-05-08,34.40,34.56,33.10,33.12,5586400,14.24
2006-05-02,33.57,34.74,33.56,34.37,7418500,14.78
2006-04-24,34.50,34.80,33.64,33.98,6284800,14.61
2006-04-17,32.08,34.95,31.78,34.74,7977700,14.94
2006-04-10,31.78,32.22,31.50,32.08,4301300,13.79
2006-04-03,32.28,32.62,31.73,31.82,4960400,13.68
2006-03-27,33.00,33.05,31.89,32.35,4610100,13.91
2006-03-20,31.64,33.02,31.35,32.97,6497900,14.18
